feature_name,idf_weights
kokrajhar,8.313553665
kodikkalpalyam,8.313553665
kodambakkam,8.313553665
kochhod,8.313553665
knowledgeispower,8.313553665
knocked,8.313553665
knew,8.313553665
kne,8.313553665
klink,8.313553665
klccurusharta,8.313553665
klaus,8.313553665
klar,8.313553665
kiwi,8.313553665
kite,8.313553665
kita,8.313553665
kevin,8.313553665
keralagovernment,8.313553665
indiavaccine,8.313553665
kamala,8.313553665
kanpur,8.313553665
kanji,8.313553665
kanjhawala,8.313553665
kanin,8.313553665
kang,8.313553665
kan,8.313553665
kami,8.313553665
kamareddy,8.313553665
kama,8.313553665
kenja,8.313553665
kam,8.313553665
kalu,8.313553665
kalmunai,8.313553665
kalimantan,8.313553665
kalahari,8.313553665
kalach,8.313553665
kal,8.313553665
kakatpur,8.313553665
kappa,8.313553665
karaikal,8.313553665
karate,8.313553665
karine,8.313553665
kendra,8.313553665
keen,8.313553665
kebab,8.313553665
katsura,8.313553665
katia,8.313553665
katherine,8.313553665
katelin,8.313553665
katandika,8.313553665
kasi,8.313553665
kash,8.313553665
kasbah,8.313553665
karwa,8.313553665
karthik,8.313553665
karrikanthangal,8.313553665
karnavati,8.313553665
karnatakagovernment,8.313553665
karla,8.313553665
kre,8.313553665
krishnakumaryadav,8.313553665
ktramarao,8.313553665
lasting,8.313553665
layman,8.313553665
lay,8.313553665
lawyer,8.313553665
laura,8.313553665
latter,8.313553665
latte,8.313553665
latin,8.313553665
lat,8.313553665
lastbutnotleast,8.313553665
kuan,8.313553665
aarogya,8.313553665
larger,8.313553665
lardy,8.313553665
larak,8.313553665
lap,8.313553665
langstreckenluisa,8.313553665
langkawi,8.313553665
langa,8.313553665
laziness,8.313553665
leaflet,8.313553665
leak,8.313553665
learns,8.313553665
letkpsharaoliwork,8.313553665
lethal,8.313553665
lesson,8.313553665
lesser,8.313553665
lenin,8.313553665
leni,8.313553665
legitimizing,8.313553665
legitimize,8.313553665
legitimacy,8.313553665
legislator,8.313553665
legislation,8.313553665
leggo,8.313553665
legalized,8.313553665
legalization,8.313553665
leftisdead,8.313553665
leeching,8.313553665
lease,8.313553665
landmark,8.313553665
landing,8.313553665
landed,8.313553665
lagayakya,8.313553665
ladakh,8.313553665
lad,8.313553665
lactation,8.313553665
labeling,8.313553665
label,8.313553665
laa,8.313553665
kyun,8.313553665
kwanindigo,8.313553665
kuyavarpalayam,8.313553665
kuwait,8.313553665
kushinagar,8.313553665
kusari,8.313553665
kuniva,8.313553665
kung,8.313553665
kumumda,8.313553665
kumbakonam,8.313553665
kulak,8.313553665
laftagareen,8.313553665
lagga,8.313553665
lancet,8.313553665
lago,8.313553665
lanai,8.313553665
lan,8.313553665
lametweet,8.313553665
lambdavariant,8.313553665
lambada,8.313553665
lamb,8.313553665
lal,8.313553665
laka,8.313553665
lait,8.313553665
laid,8.313553665
lai,8.313553665
lahanattttt,8.313553665
lagwaye,8.313553665
lagwaya,8.313553665
lagvayi,8.313553665
lagrange,8.313553665
lagoon,8.313553665
kak,8.313553665
kaiser,8.313553665
kailash,8.313553665
intensity,8.313553665
intervene,8.313553665
internationalyogaday,8.313553665
internally,8.313553665
interference,8.313553665
interested,8.313553665
intentionally,8.313553665
intention,8.313553665
intensive,8.313553665
intense,8.313553665
islam,8.313553665
intelligence,8.313553665
intellectual,8.313553665
insurancebroker,8.313553665
insult,8.313553665
insufficient,8.313553665
instant,8.313553665
installment,8.313553665
instagrammalaysia,8.313553665
interview,8.313553665
intimation,8.313553665
introspection,8.313553665
invented,8.313553665
isha,8.313553665
irresponsible,8.313553665
irrelevant,8.313553665
ironically,8.313553665
iron,8.313553665
ireland,8.313553665
iranianvaccine,8.313553665
ir,8.313553665
iot,8.313553665
involves,8.313553665
involvement,8.313553665
involve,8.313553665
inviting,8.313553665
invited,8.313553665
investigator,8.313553665
investigating,8.313553665
investigated,8.313553665
instadaily,8.313553665
insidious,8.313553665
insider,8.313553665
influencing,8.313553665
influencer,8.313553665
infinity,8.313553665
infested,8.313553665
infertile,8.313553665
infecting,8.313553665
infectee,8.313553665
infarcture,8.313553665
inf,8.313553665
inequity,8.313553665
inept,8.313553665
inefficient,8.313553665
indulging,8.313553665
induce,8.313553665
indo,8.313553665
indiscriminate,8.313553665
indifightcorona,8.313553665
indicator,8.313553665
influencers,8.313553665
influential,8.313553665
insane,8.313553665
informal,8.313553665
inoculate,8.313553665
innovation,8.313553665
ink,8.313553665
injury,8.313553665
injectable,8.313553665
initiating,8.313553665
initiated,8.313553665
initially,8.313553665
initial,8.313553665
inhumane,8.313553665
inhaled,8.313553665
ingredient,8.313553665
ingeniously,8.313553665
infrastructure,8.313553665
