,Text
174,"@HiFi_ingAuntie @dorothyho Have you heard about UK? Life goes back to pre-2020 on 19 July. No more masks, social distancing, everything open. Bars, clubs, etc.

UK has approx 50% fully vaccinated by now but still?! The gov is crazy. This move increases the risk for some segments of the population by a lot!"
175,@windenbeak Some Western fans don’t really care. Their own take on covid is no masks and no quarantines work best. Vaccines are a conspiracy theory. It’s just a flu. Stop restricting our rights and freedom. 🤷🏻‍♀️
176,I guess I shouldn't be surprised but it is MAD that people are genuinely angry that people are going to exercise their rights and continue to wear masks. Will continue to wear mine in certain circumstances once we return home.
177,Thread on fully vaccinated and yet getting COVID-19 again. Do not abandon your masks. https://t.co/HINVrdWQcw
178,Glad that Wimbledon is still happening but it’s puzzling how there are no measures taken during the pandemic. No masks &amp; no social distancing. 🤷🏻‍♂️
179,"This ""learning to live with covid"" hasn't started. We've been heavily restricted for 18 months. The max group size permitted has been 8, now reduced to 2. Masks have been mandatory. Heavy fines for breaking rules. These draconian measures wouldn't have been possible in uk. https://t.co/Jx63Dg0udK"
180,Okay. I am a total noob. How did I not know a piece of this masks (except for the clinic mask) costs $2.00?? Like cheap kan for a mask? Sephora punya mask pun takda this kind of price range? https://t.co/rRo7tlaviG
181,WHO urges fully vaccinated people to continue to wear masks as delta Covid variant spreads https://t.co/1wBehGtdDr
182,Wah free masks and hand sanitiser also for everyone who got vaccinated here. https://t.co/3ezswupuzj
183,@verysallyish Try on masks as bikini
184,"For my US friends, please read this entire thread regarding the Delta variant. We've been dealing with this here in Singapore for quite some time now and all the data mentioned here is absolutely true. Get vaccinated, wear masks, and be safe with your actions. https://t.co/aY79JvwOs5"
185,@dirtymel0nyxx Maybe because you were social-conscious and wearing masks?
186,"Singapore really are serious about curbing covid here. Every staff here is wearing blue overalls, face shields, masks and gloves. Nice one. https://t.co/Bn1203hD13"
187,Watching the VIC #Covid19 update. Some journalists in the press pack with masks barely covering their noses.
188,i keep getting neck rashes from masks help🥲
189,Criminals show us how masks are to be worn. Gotta give them points for this! https://t.co/dHyPZYJ4c9
190,"US Secretary of State  spoke on June 4th: ""China: you should face your own human rights issues.""
China's human rights issues are nothing to do with the  US!
Americans who did not wear masks and did not listen to the advice of the police were  killed Is this American humanism? https://t.co/EZMdYGXcFB"
191,"Ok so I broke my own rule to order masks, face shields &amp; vitamins for my mum who’s gonna get vaccinated tomorrow"
192,"Thank you Government of Singapore You are not just giving senitizer  and masks.  You have been helping us for free since April 2020.  Mask, Sanitizer, Covid Test and  Vaccination.  Thank you very much for all this."
193,Did this woman compare wearing masks to—
194,"Sometimes when I see all these old Karens in the news not wanting to put on masks as they should since we still have the pandemic ongoing, I think of this evergreen quote by one of the films by the late legendary P Ramlee: https://t.co/2vz9wydhbk"
195,"I now know why my Singaporean friends were complaining about masks, I’m sweating into my mask more sitting down than I do running for an hour I’m SF"
196,"One mask already I complaining so much, 2 masks means that’s it. I will cry. https://t.co/4qRVntSIom"
197,"Wear your Face Masks. 
#mhadigeos #masks #SaveLife #SaveLives https://t.co/Ea50Tncuol"
198,"@jj_eugene_tan State contingent utility -&gt; risk seeking -&gt; dogecoin all the way + masks are for lovers.

#sad"
199,"Its 2018. U blasting Drake’s “Look Alive” through the speakers otw to a club. No safe entries, no masks. Just lookin to have a good time without a care in the world"
200,I like UnderArmour's sportswear but people who wear their masks look like douchebags...
201,"Our mask is 3-ply cloth mask. Available on @threadapeutic_masks instagram. 

#mask #threadapeutic https://t.co/5PHbDAZnQO"
202,my guy doesnt want covid hes wearing 2 masks
203,wow so now we can all hve excuses if we dw to wear masks https://t.co/MG2BchAbBs
204,"SINGAPORE --
- All adults on the whole island should get at least 1st vaccine dose by end-August
- Spacing vaccines to 6-8 week gaps
- Pfizer approved for 12-15 year olds
- Wear better masks
- 40+ can get starting tomorrow
https://t.co/lqr1kPWTDd"
